ticket_id,date,time,status,address,description,agency,category,ForwardedStatus,ForwardedDate,ForwardedTime,TakeTime
2024-GT8HMD,3-ธ.ค.-67,08:54 น.,รอรับเรื่อง 8 นาทีที่แล้ว,เขตปทุมวัน,ขาย,"เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3-ธ.ค.-67,08:54 น.,รอรับเรื่อง
2024-9Q78TW,3-ธ.ค.-67,08:53 น.,รอรับเรื่อง 8 นาทีที่แล้ว,เขตปทุมวัน แขวงลุมพินี,3/12/2567มีรถจอดกีดขวางการรับส่ง หน้าป้ายรถเมล์ เพนินซูล่า ถนนราชดำริ,"เขตปทุมวัน, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:53 น.,รอรับเรื่อง
2024-4QFZD8,3-ธ.ค.-67,08:52 น.,รอรับเรื่อง 9 นาทีที่แล้ว,เขตบางนา แขวงบางนาใต้,ติดหนักมากเกินไปไม่มีตำรวจ สัญญาณจราจรเสีย,"เขตบางนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:52 น.,รอรับเรื่อง
2024-3Y9EAL,3-ธ.ค.-67,08:51 น.,รอรับเรื่อง 10 นาทีที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,รถแท็กซี่สาธารณะจอดรถที่บริเวณป้ายรถเมล์ ข้าง ป้อม สน.ประเวศ ทุกวัน,"เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:51 น.,รอรับเรื่อง
2024-DKZQCK,3-ธ.ค.-67,08:50 น.,รอรับเรื่อง 11 นาทีที่แล้ว,เขตคลองสาน แขวงคลองสาน,คนเร่ร่อนนอนกลางสะพานลอย ระหว่างถนนลาดหญ้า ซอย 8 / 11,"เขตคลองสาน, กรุงเทพมหานคร",คนเร่ร่อน,รอรับเรื่อง,3-ธ.ค.-67,08:50 น.,รอรับเรื่อง
2024-CTFZGH,3-ธ.ค.-67,08:50 น.,รอรับเรื่อง 12 นาทีที่แล้ว,เขตบางซื่อ,ทางม้าลายไม่หยุดให้คนข้ามถนน,"เขตบางซื่อ, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:50 น.,รอรับเรื่อง
2024-HKVUCK,3-ธ.ค.-67,08:47 น.,รอรับเรื่อง 15 นาทีที่แล้ว,เขตวัฒนา,ขอทานมีเด็กเล็กด้วย,"เขตวัฒนา, ฝ่ายเทศกิจ เขตวัฒนา, กรุงเทพมหานคร",คนเร่ร่อน,รอรับเรื่อง,3-ธ.ค.-67,08:56 น.,ใช้เวลา 10 นาที
2024-P3E4ML,3-ธ.ค.-67,08:45 น.,รอรับเรื่อง 16 นาทีที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,กลางถนนมีหลุมใหญ่ แยกโพธิ์สามต้น ขาไปแยกบ้านแขก ให้เจ้าหน้าที่หน่วยงานเข้าแก้ เกรงเกิดอุบัติเหตุ,"เขตบางกอกใหญ่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:45 น.,รอรับเรื่อง
2024-A3TBYR,3-ธ.ค.-67,08:45 น.,รอรับเรื่อง 17 นาทีที่แล้ว,เขตบางบอน แขวงคลองบางพราน,ซอยกำนันแม้น13แยก4 ถนนมีการเทยกสูงกว่าซอยเข้าบ้าน ทำให้ตอนนี้รถไม่สามารถเข้าออกได้ เนื่องจากพื้นสูงกว่าระดับถนนอยากสอบถามว่าจะมีหน่วยงานไหน เข้ามาเทพื้นให้มันเท่าถนนที่มีการเทยกสูงขึ้นมั้ยคะ?มิฉะนั้นประชาชนในแยก4 จะเข้าซอยบ้านตัวเองอย่างไรคะ ?,"เขตบางบอน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:45 น.,รอรับเรื่อง
2024-BBKKKW,3-ธ.ค.-67,08:40 น.,รอรับเรื่อง 21 นาทีที่แล้ว,เขตบางบอน,น้ำในคลองลำโครัท กลับมาเน่าเสีย ส่งกลิ่นเหม็นอีกแล้ว พร้อมทั้งมีคราบน้ำมันบนผิวน้ำลอยมาด้วยจ๊ะ และดำเหม็น,"เขตบางแค, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3-ธ.ค.-67,08:40 น.,รอรับเรื่อง
2024-A8EAPB,3-ธ.ค.-67,08:39 น.,รอรับเรื่อง 22 นาทีที่แล้ว,เขตคลองสามวา แขวงสามวาตะวันออก,ถนนฝั่งตรงข้ามโรงเรียน เป็นทางกลับรถ มีหลุมและทางระดับไม่เท่ากัน เด็กๆใช้เป็นทางปั่นจักรยานมา รร,"เขตคลองสามวา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:39 น.,รอรับเรื่อง
2024-4QDC2U,3-ธ.ค.-67,08:39 น.,รอรับเรื่อง 23 นาทีที่แล้ว,เขตบางพลัด แขวงบางบำหรุ,การทำทางเท้า,"เขตบางพลัด, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,3-ธ.ค.-67,08:39 น.,รอรับเรื่อง
2024-ENQ2ZP,3-ธ.ค.-67,08:35 น.,รอรับเรื่อง 27 นาทีที่แล้ว,เขตคลองสามวา แขวงสามวาตะวันออก,ถนนกลับรถฝั่งตรงข้าม รร ไม่เท่ากันมีหลุม,"เขตคลองสามวา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:35 น.,รอรับเรื่อง
2024-42CR2B,3-ธ.ค.-67,08:32 น.,รอรับเรื่อง 29 นาทีที่แล้ว,เขตคลองเตย,ฝุ่นPMหนามาก แจ้งแบบนี้ทุกปี ไหนการแก้ปัญหาระยะยาว,"สส.ผึ้ง พนิดา สมุทรปราการ เขต1, 1111 ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล, กรุงเทพมหานคร, เขตคลองเตย, สำนักสิ่งแวดล้อม กทม., เพื่อนชัชชาติ",ควันไฟ - ฝุ่นละออง,รอรับเรื่อง,3-ธ.ค.-67,08:35 น.,ใช้เวลา 3 นาที
2024-N7GBU3,3-ธ.ค.-67,08:32 น.,รอรับเรื่อง 30 นาทีที่แล้ว,เขตบางซื่อ แขวงวงศ์สว่าง,ทางเขตบางซื่อไม่เข้ามาเก็บขยะ10วันแล้ว กลิ่นขยะส่งหลิ่นมาก,"เขตบางซื่อ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3-ธ.ค.-67,08:32 น.,รอรับเรื่อง
2024-D4FK94,3-ธ.ค.-67,08:31 น.,รอรับเรื่อง 31 นาทีที่แล้ว,เขตบางกอกน้อย,คนขับรถเก็บขยะ เขตบางกอกน้อย มารยาทเสีย บีบแตร ดัง,"เขตบางกอกน้อย, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,3-ธ.ค.-67,08:31 น.,รอรับเรื่อง
2024-N7H9U4,3-ธ.ค.-67,08:30 น.,รอรับเรื่อง 32 นาทีที่แล้ว,เขตจตุจักร,การก่อสร้างในซอยคอนโด ไม่อำนวยความสะดวกให้คนที่อาศัยอยู่ในซอย พื้นถนนมีฝุ่น รวมถึงเศษเหล็กเกินออกมา ไม่ปิดกั้นรั้วในการก่อสร้าง เวลาผ่านไปค่อนข้างอันตราย บางครั้งมีสะเก็ดไฟจากการทำงานช่างก็ทำที่ข้างถนนเลย รวมถึงตอนนี้มีเศษฝุ่น ที่เกิดจากการก่อสร้างกระจายอยู่หน้าไซต์งาน ลอยเต็มเลย การก่อสร้างไม่ค่อยปลอดภ้ยต่อผู้ที่สัญจรค่ะ เป็นของสำนักงานดิจิตอล อยากให้ตรวจสอบหน่อยค่ะ,"เขตจตุจักร, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3-ธ.ค.-67,08:30 น.,รอรับเรื่อง
2024-8DNPNN,3-ธ.ค.-67,08:27 น.,รอรับเรื่อง 34 นาทีที่แล้ว,เขตราชเทวี แขวงมักกะสัน,ฝุ่น pm มาอีกแล้ว คุณภาพชีวิตดีๆอยุ่ที่ไหน,"เขตราชเทวี, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3-ธ.ค.-67,08:27 น.,รอรับเรื่อง
2024-CRZ34G,3-ธ.ค.-67,08:27 น.,รอรับเรื่อง 35 นาทีที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,ป้ายรถเมล์ไฟดับมาหลายเดือนแล้วค่ะ แจ้งไปหลายรอบแล้ว เพราะเป็นป้ายที่คนใช้เยอะ มืดมากค่ะ อันตรายมาก,"เขตบางกอกใหญ่, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,3-ธ.ค.-67,08:27 น.,รอรับเรื่อง
2024-64AWQN,3-ธ.ค.-67,08:24 น.,รอรับเรื่อง 38 นาทีที่แล้ว,เขตปทุมวัน แขวงลุมพินี,สะพานลอยมีคราบสกปรกและน้ำมันที่พื้นดำมาก ลิฟท์คนพิการขึ้นลงมีความสกปรกไม่สะอาด ตอนช่วงค่ำมีคนไร้บ้านอาศัยอยู่บนสะพานลอย รบกวนเขตปทุมวันดำเนินการ ฝ่ายเทศกิจตรวจสอบคนไร้บ้าน ฝ่ายรักษาความสะอาดตรวจสอบความสะอาดสะพานลอยขอบคุณ,"เขตปทุมวัน, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3-ธ.ค.-67,08:24 น.,รอรับเรื่อง
2024-BPY3GL,3-ธ.ค.-67,08:23 น.,รอรับเรื่อง 39 นาทีที่แล้ว,เขตดุสิต แขวงสวนจิตรลดา,ขอร้องเรียนเรื่อง การปิดถนนหน้าทำเนียบรัฐบาลส่งผลให้การจราจรติดขัด โดยสังเกตว่าจะปิดถนนทุกวันอังคารเช้า ซึ่งเป็นชั่วโมงเร่งด่วน ทำให้ประชาชนเดือดร้อน,"เขตดุสิต, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:23 น.,รอรับเรื่อง
2024-FP3ZG9,3-ธ.ค.-67,08:22 น.,รอรับเรื่อง 39 นาทีที่แล้ว,เขตคลองสามวา แขวงบางชัน,แจ้งเรื่องครั้งที่2 หลังจากได้เคยแจ้งเรื่องนี้แล้ว ว่ามีถังหรือเตาเผากีดขวางทางเดินเท้าในซอยสุเหร่าคลองหนึ่ง 7 เมื่อสัปดาห์ก่อน ปัจจุบันยังไม่ได้มีการดำเนินการแจ้งไข ปรับปรุง แต่ได้มีการแจ้งกลับมาว่าดำเนินการเสร็จแล้วจึงขอแจ้งอีกครั้งหนึ่งลงวันที่3/12/2567ว่ายังไม่มีการดำเนินการแก้ไขเลยจึงขอให้ฝ่ายทีเกี่ยวข้องช่วยดำเนินการแจ้งเจ้าของให้ดำเนินการย้ายออกเพราะกีดขวางการจราจรและทางเดินของชาวบ้านในพื้นที่นี้มาก,"เขตคลองสามวา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,3-ธ.ค.-67,08:22 น.,รอรับเรื่อง
2024-897BXQ,3-ธ.ค.-67,08:20 น.,รอรับเรื่อง 41 นาทีที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,รถบรรทุกวิ่งฝ่าเวลา,"เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:20 น.,รอรับเรื่อง
2024-KPUPMT,3-ธ.ค.-67,08:19 น.,รอรับเรื่อง 42 นาทีที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,ดูแลต้นไม้(ไม้ยืนต้น)ผิดวิธี,"เขตบางเขน, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,3-ธ.ค.-67,08:19 น.,รอรับเรื่อง
2024-8N4CYR,3-ธ.ค.-67,08:18 น.,รอรับเรื่อง 44 นาทีที่แล้ว,เขตบางบอน แขวงบางบอนใต้,มีการเผาในที่โล่งทำให้เกิดควันกระจายไปทั่ว,"เขตบางบอน, ฝ่ายเทศกิจ เขตบางบอน, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3-ธ.ค.-67,08:23 น.,ใช้เวลา 6 นาที
2024-GQ8MCM,3-ธ.ค.-67,08:18 น.,รอรับเรื่อง 44 นาทีที่แล้ว,เขตห้วยขวาง,มอเตอร์ไซค์ขับรถบนฟุตบาท,"เขตห้วยขวาง, ฝ่ายเทศกิจ เขตห้วยขวาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:46 น.,ใช้เวลา 29 นาที
2024-6NB2Q6,3-ธ.ค.-67,08:17 น.,รอรับเรื่อง 45 นาทีที่แล้ว,เขตห้วยขวาง แขวงมักกะสัน,มอเตอร์ไซค์ขับรถบนฟุตบาท,"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:17 น.,รอรับเรื่อง
2024-N2Q6BL,3-ธ.ค.-67,08:11 น.,รอรับเรื่อง 50 นาทีที่แล้ว,เขตคลองเตย,วันที่ 3/12/256707:50 น ถนนสุขุมวิทบริเวณตั้งแต่ซอย 3-ซอย 15 มีการจอดรถแท็กซี่ รถรับข้างส่วนบุคคลที่จับกลุ่มกัน กีดขวางการจราจรช่องซ้ายสุด ทุกวัน เป็นที่น่ารำคาญ,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:11 น.,รอรับเรื่อง
2024-LY3VZT,3-ธ.ค.-67,08:10 น.,รอรับเรื่อง 51 นาทีที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,วันนี้ก็เหมือนเดิมทำงานตั้งแต่ตี5ขนของขึ้นรถเสียงดังไปบอกให้เบาหน่อยก็ยิ่งดังเหมือนแกล้งแถมเิารถจอดขวางถนนขึ้นของรถเข้าออกไม่ได้ขนาดมอเตอร์ไซด์ยังไปไม่ได้ไปบอกก็ว่ายังไม่เสร็จนี่มันถนนสาธารณะ นะ ไม่สนใจชักสีหน้าใส่จะต้องทนแบบนี้ตลอดไปหรอ,"เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,3-ธ.ค.-67,08:10 น.,รอรับเรื่อง
2024-8ACGV4,3-ธ.ค.-67,08:04 น.,รอรับเรื่อง 57 นาทีที่แล้ว,,รถจอดกีดขวางการจราจร,"เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:04 น.,รอรับเรื่อง
2024-MXH8HV,3-ธ.ค.-67,08:03 น.,รอรับเรื่อง 59 นาทีที่แล้ว,เขตบางนา,ช่วยมาจัดการการจราจรเส้นทางรถไฟสายปากน้ำเก่าด้วยครับเนื่องจากมีการก่อสร้างถนนไม่มีคนมาจัดการจราจรตั้งแต่แยกบางนาสรรพาวุธจนถึงคลองเตยครับ,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:03 น.,รอรับเรื่อง
2024-HMKUMU,3-ธ.ค.-67,08:03 น.,รอรับเรื่อง 59 นาทีที่แล้ว,เขตบางนา แขวงบางนาใต้,ช่วยมาดูแยกสรรพาวุธ ตอนเข้าหน่อยค่าแจ้งไปหลายรอบหลายหน่วยงาน ไม่มีคนมาแก้ปัญหาเลย รถติดมากๆ วันละเป็นชั่วโมงอยู่ตรงแยกนี้ปกติรถใหญ่วิ่งตอนเข้าไม่ได้ พอทำทางแล้วไม่เห็นมีใครสนใจ วิ่งกันเยอะมาก แล้วพอไปไม่ได้ก็ขวางแยก รถทางอื่นก็ไปไท่ได้ ตร.มาเป็นวัน ๆ (เดือนละครั้ง) มาวันไหนรถก็ไม่ติดได้ 1 วัน ลองมาดูวันปกติได้ไหมคะไฟแดงมีบ้างไม่มีบ้าง ค่อนข้างสับสน,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:03 น.,รอรับเรื่อง
2024-RC2VAL,3-ธ.ค.-67,08:03 น.,รอรับเรื่อง 59 นาทีที่แล้ว,เขตจอมทอง แขวงบางค้อ,มาปิดถนนให้วุ่นวายทำไม รถติด*** ทำไมไม่จัดคนมาคอยดูคอบโบกรถ ไม่สนใจประชาชนเลยจริงๆ คุณชัชชาติไปไหน ไม่มาดูแลความเดือดร้อนของประชาชนบ้างอ่ะ เลือกเสร็จ ได้เสร็จก็หายเลยไหนบอกจะมาจัดการรถติดไง ไม่เคยจะทำได้ มีแต่สร้างปัญหาให้มันติดกว่าเกิม ****** สมัยหน้าอย่าได้หวังเลย ห่วยแบบนี้,"เขตจอมทอง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:03 น.,รอรับเรื่อง
2024-4K84CD,3-ธ.ค.-67,08:00 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,รถคนงาน รร ดุสิตธานี จอดที่ห้ามจอด ผิด กม ใกล้แยกสีลม รถติดมาก ตำรวจต้องจับ ได้แล้ว เดือดร้อน ปชช,"เขตบางรัก, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:00 น.,รอรับเรื่อง
2024-ZN8D33,3-ธ.ค.-67,07:58 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตประเวศ แขวงดอกไม้,ขยะเกลื่อนกลาดยิ่งเก็บยิ่งมีคนมาทิ้ง ควรหาวิธีการจัดการที่ยั่งยืน เช่น ติดกล้อง ปักป้าย เปิดไฟส่องสว่าง ปรับคนทิ้ง,"เขตประเวศ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3-ธ.ค.-67,07:58 น.,รอรับเรื่อง
2024-6UUVK2,3-ธ.ค.-67,07:56 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,3/12/2567เวลา 07:55 น พบรถตุ๊กตุ๊กจอดบนฟุตบาทหน้าธนาคารกรุงไทย,"เขตวัฒนา, ฝ่ายเทศกิจ เขตวัฒนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:46 น.,ใช้เวลา 50 นาที
2024-78MZC2,3-ธ.ค.-67,07:55 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,รถ2แถวจอดแช่เลนเลี้ยวซ้ายเพื่อรอไปเขียวทางตรงเป็นประจำทำให้รถติดสะสมโดนไม่จำเป็น ทั้งที่ตร.จราจรก็อยู่ในป้อมแต่เพิกเชยไม่ตัดการกับปัญหา,"เขตลาดกระบัง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,07:55 น.,รอรับเรื่อง
2024-KPBX37,3-ธ.ค.-67,07:54 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,การขายของบนทางเท้า,"เขตบางรัก, ฝ่ายเทศกิจ เขตบางรัก, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,3-ธ.ค.-67,08:00 น.,ใช้เวลา 6 นาที
2024-6CUD3V,3-ธ.ค.-67,07:52 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตวัฒนา,ช่วงเช้า และ เย็น การจราจร ติดขัด มีรถ จักรยานยนต์ จอดหน้าร้าน เซเว่นอีเลฟเว่น ตรงใกล้ ทางแยก อยาก ให้ กทม ช่วย ทาสี ขาวแดง ให้ชัดเจน บริเวณมุม ทางแยก ทั้ง 4 ด้าน และ ประสานงาน กับ ตำรวจ ให้ กวดขัน วินัยจราจร ในการจอด ทางแยก ทางร่วม เพื่อช่วย บรรเทาการติดขัดแในซอย ที่ ผู้ปกครอง มาส่ง และ มารับ นักเรียน ตอนเชและ ตอนเย็น ครับ,"เขตวัฒนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,07:52 น.,รอรับเรื่อง
2024-EMFXPD,3-ธ.ค.-67,07:50 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงมักกะสัน,รถสาธารณะทำผิดกฎจราจร แทรกคอสะพาน,"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,07:50 น.,รอรับเรื่อง
2024-F74W4Z,3-ธ.ค.-67,07:49 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ปัญหาจากกลิ่น ควันปิ้งย่าง,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3-ธ.ค.-67,07:49 น.,รอรับเรื่อง
2024-FNM7N7,3-ธ.ค.-67,07:46 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตจอมทอง แขวงบางค้อ,รถยังคิดชะลอตัว เหลือ 2 เลน ช่วงเช้า ต้องขับเบี่ยงทางขวา หนี เสาจราจรล้มลุก เช่นทุกๆ วัน ครับ เสียพื้นผิวจราจร สำหรับระบายรถ ติดขัด ใน ชม เร่งด่วน ครับ,"เขตจอมทอง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,07:46 น.,รอรับเรื่อง
2024-KXMAND,3-ธ.ค.-67,07:45 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ปัญหาจากกลิ่น ควันปิ้งย่าง,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3-ธ.ค.-67,07:45 น.,รอรับเรื่อง
